直播接口超快。丝滑流畅

https://l.gmbbk.com/upload/45304530.txt
731系列,#genre#
阴阳路7撞到正,https://vip.ffzy-play7.com/20230509/24376_fa8f160f/2000k/hls/mixed.m3u8
阴阳路8棺材仔,https://vip.ffzy-play7.com/20230509/24377_f04d4e24/2000k/hls/mixed.m3u8
阴阳路9命转乾坤,https://vip.ffzy-play7.com/20230509/24378_c4ea676d/2000k/hls/mixed.m3u8
阴阳路10宣言咒,https://vip.ffzy-play7.com/20230509/24379_c35ef3da/2000k/hls/mixed.m3u8
阴阳路11撩鬼攞命,https://vip.ffzy-play7.com/20230509/24380_164e6f4f/2000k/hls/mixed.m3u8
阴阳路12美容尸,https://vip.ffzy-play7.com/20230509/24381_5da7db12/2000k/hls/mixed.m3u8
阴阳路13花鬼,https://vip.ffzy-play7.com/20230509/24382_5995fab2/2000k/hls/mixed.m3u8
阴阳路14双鬼拍门,https://vip.ffzy-play7.com/20230509/24383_431edd0f/2000k/hls/mixed.m3u8
阴阳路15客似魂来,https://vip.ffzy-play7.com/20230509/24384_c058516c/2000k/hls/mixed.m3u8
阴阳路16回到武侠时代,https://vip.ffzy-play7.com/20230509/24385_b6da2f98/2000k/hls/mixed.m3u8
阴阳路17监房有鬼,https://vip.ffzy-play7.com/20230509/24386_7e779c5c/2000k/hls/mixed.m3u8
阴阳路18鬼上身,https://vip.ffzy-play7.com/20230509/24387_83714d63/2000k/hls/mixed.m3u8
阴阳路19我对眼见到嘢,https://vip.ffzy-play7.com/20230509/24388_6de74afc/2000k/hls/mixed.m3u8
阴阳路20降头,https://vip.ffzy-play7.com/20230509/24389_3174f7fd/2000k/hls/mixed.m3u8
阴阳路21常在你左右,https://vip.ffzy-play7.com/20230509/24390_e1afbe89/2000k/hls/mixed.m3u8
恐怖片,#genre#
睡着的女人2024(西班牙恐怖片),https://v.lzcdn25.com/20250323/170_fcdfdd93/index.m3u8
致命玩笑Ⅲ 2014(美国恐怖片),
致命玩笑Ⅱ 2008(美国恐怖片),
连体1984【粤语】(香港恐怖片),
连体1984【国语】(香港恐怖片),
连体阴2007(泰国恐怖片),
来自谁的启示2025(韩国恐怖),https://v.lzcdn25.com/20250322/165_c1bace24/index.m3u8
见鬼发财2024(越南恐怖片),https://v.lzcdn25.com/20250322/161_9e819704/index.m3u8
变脸丈夫2023(美国恐怖片),https://v.lzcdn25.com/20250321/146_a209517c/index.m3u8
亲爱的2022(意大利恐怖片),https://v.lzcdn25.com/20250321/150_8170b0ba/index.m3u8
死去的东西2024(美国恐怖片),https://v.lzcdn25.com/20250318/138_90e79f0d/index.m3u8
临界点2025(美国恐怖片),https://v.lzcdn25.com/20250317/134_625f2d39/index.m3u8
血河2024(丹麦/英国/泰国恐怖片),https://v.lzcdn24.com/20250316/23499_0b96a3ff/index.m3u8
邪恶森林2005(美国恐怖片),
作祟的心2024(西班牙恐怖片),https://v.lzcdn25.com/20250316/130_a51c23c8/index.m3u8
猩红诊所2024(印度尼西亚恐怖片),https://v.lzcdn25.com/20250315/124_164981bb/index.m3u8
家教2025(美国恐怖片),https://v.lzcdn25.com/20250314/104_5a10b888/index.m3u8
河童之子2025(美国恐怖片),https://v.lzcdn25.com/20250314/105_8f40af1f/index.m3u8
裹尸布2024(法国恐怖片),https://v.lzcdn25.com/20250314/106_6a10e741/index.m3u8
控制狂2025(美国恐怖片),https://v.lzcdn25.com/20250314/110_dbd4ae93/index.m3u8
勇敢之人2025(美国恐怖片),
恐怖列车1973(英国恐怖片),
恶魂现世1991(印度恐怖片),
别动酷刑1972(意大利恐怖片),
寂静之夜2024(波兰恐怖片),https://v.lzcdn25.com/20250309/77_49dc847f/index.m3u8
公寓2024HD(柬埔寨/日本恐怖片),https://v.lzcdn25.com/20250307/66_00868d33/index.m3u8
不当表现2024(英国恐怖片),https://v.lzcdn25.com/20250307/58_f48b8b36/index.m3u8
杰瑟普湖2025(美国恐怖片),https://v.lzcdn25.com/20250307/56_d48d6c8f/index.m3u8
腥心眼2025(美国恐怖片),https://v.lzcdn25.com/20250305/55_975435e0/index.m3u8
黑修女们2025(韩国恐怖片),https://v.lzcdn25.com/20250305/52_5c5821a1/index.m3u8
荒山人魔2009(意大利恐怖片),https://v.lzcdn24.com/20250302/21781_5d5955a5/index.m3u8
冰血寒颤2011(瑞典恐怖片),https://v.lzcdn24.com/20250302/21779_ecfc92b0/index.m3u8
异形造反1986(美国恐怖片),https://v.lzcdn26.com/20250301/11374_79a88be6/index.m3u8
怪兽航线2024(德国恐怖片),https://v.lzcdn26.com/20250301/11371_b1d138b1/index.m3u8
阿糠2024(越南恐怖片),https://v.lzcdn25.com/20250301/27_6a9f6e79/index.m3u8
死命必达2024(泰国恐怖片),https://v.lzcdn25.com/20250228/23_99d32a21/index.m3u8
癫狂：恋尸狂的忏悔1974(加拿大恐怖片),https://v.lzcdn24.com/20250228/21443_ac7908e0/index.m3u8
屠杀夜2006(比利时/荷兰恐怖片),https://v.lzcdn24.com/20250226/20940_c7a7ccc5/index.m3u8
鬼妇2：村庄2023(印度尼西亚恐怖片),https://v.lzcdn25.com/20250226/10_f3528ea8/index.m3u8
海底潜伏2023(加拿大恐怖片),https://v.lzcdn25.com/20250226/9_d3882af0/index.m3u8
感应2024(美国恐怖片),https://v.lzcdn25.com/20250226/5_30322899/index.m3u8
大力水手的复仇2025(美国恐怖片),https://v.lzcdn25.com/20250226/3_e6f2ee90/index.m3u8
死亡扑克2024(美国恐怖片),https://v.cdnlz12.com/20250222/18240_1ddb7f1f/index.m3u8
吉隆贡Ⅲ2022(印度尼西亚恐怖片),https://v.cdnlz12.com/20250222/18238_329f8792/index.m3u8
吉隆贡Ⅱ2018(印度尼西亚恐怖片),https://v.cdnlz12.com/20250222/18241_93cb4d05/index.m3u8
吉隆贡Ⅰ2017(印度尼西亚恐怖片),https://v.cdnlz12.com/20250222/18242_8824a677/index.m3u8
完美伴侣2025(美国恐怖片),https://v.cdnlz12.com/20250219/18237_1f952107/index.m3u8
噬灵者2024(法国恐怖片),https://v.cdnlz3.com/20250211/33453_ef1fd71c/index.m3u8
噬魂岛2024(大陆恐怖片),https://v.cdnlz12.com/20250208/18195_0b1c4c37/index.m3u8
阴山异闻录2025(大陆恐怖片),https://v.cdnlz3.com/20250207/33293_e4781258/index.m3u8
街头废物2024(南非恐怖片),https://v.cdnlz3.com/20250207/33292_8c87a94e/index.m3u8
鬼滴语Ⅱ2024(泰国恐怖片),https://v.cdnlz3.com/20250206/33243_627993c6/index.m3u8
狼人2025(美国恐怖片),https://v.cdnlz3.com/20250205/33144_17af99b6/index.m3u8
移植2024(新西兰恐怖片),https://v.cdnlz3.com/20250128/32915_c2b1c125/index.m3u8
草迷宫恐怖杀人事件2024(菲律宾恐怖片),https://v.cdnlz3.com/20250125/32840_6bde9756/index.m3u8
孤海沙堡2024(阿联酋/美国/黎巴嫩恐怖片),https://v.cdnlz12.com/20250125/18163_b8eab873/index.m3u8
夜母2024(美国恐怖片),https://v.cdnlz3.com/20250124/32805_6931f0c1/index.m3u8
我的血腥情人节2009(美国恐怖片),https://v.lzcdn24.com/20250123/15992_d26e921a/index.m3u8
诺斯费拉图2024(美国恐怖片),https://v.cdnlz12.com/20250122/18104_84312c4b/index.m3u8
寻凶2025(大陆恐怖片),https://v.cdnlz3.com/20250120/32572_b69246b4/index.m3u8
千年虫2024(美国恐怖片),https://v.cdnlz12.com/20250120/18093_c9c39c5d/index.m3u8
鸳鸯楼·惊魂2024(大陆恐怖片),https://v.cdnlz3.com/20250110/32073_792c9998/index.m3u8
穷凶极恶2025(大陆恐怖片),https://v.cdnlz3.com/20250109/32035_670dce3c/index.m3u8
被诅咒的土地2024(泰国恐怖片),https://v.cdnlz3.com/20250107/31954_04aec42d/index.m3u8
隐藏的面孔2024(韩国恐怖片),https://v.lzcdn24.com/20241228/12006_bf49f953/index.m3u8
临终时刻2024(印度尼西亚恐怖片),https://v.cdnlz3.com/20241226/31476_29851eae/index.m3u8
第十年2024(英国恐怖片),https://v.cdnlz12.com/20241223/17842_31aca484/index.m3u8
着魔2024(印度尼西亚恐怖片),https://v.cdnlz3.com/20241221/31239_9a4d502d/index.m3u8
罪生咒2024(泰国恐怖片),https://v.cdnlz3.com/20241218/31078_97919eb9/index.m3u8
世界奇妙物语2024冬季特别篇(日本恐怖片),https://v.cdnlz12.com/20241216/17771_65a98fba/index.m3u8
三天2024(韩国恐怖片),https://v.cdnlz3.com/20241213/30836_2496c694/index.m3u8
异教徒2024(美国恐怖片),https://v.cdnlz3.com/20241211/30771_b9bd2417/index.m3u8
罪恶新月城2024(美国恐怖片),https://v.cdnlz3.com/20241127/29923_b1a2e978/index.m3u8
不幸之家2024(日本恐怖片),https://v.cdnlz3.com/20241126/29905_f563ee34/index.m3u8
复活之战2024(泰国恐怖片),https://v.cdnlz3.com/20241122/29538_ab36da32/index.m3u8
黑水巷2024(英国恐怖片),https://v.cdnlz3.com/20241119/29391_e06b7994/index.m3u8
怪栗情人2023(美国恐怖片),https://v.cdnlz3.com/20241117/29314_ee420b66/index.m3u8
杀死爱人2024(英国恐怖片),https://v.cdnlz3.com/20241116/29235_ac18d1a8/index.m3u8
独自赴死2024(加拿大恐怖片),https://v.cdnlz20.com/20241113/19824_e4e11c87/index.m3u8
夺命微笑Ⅱ2024(美国恐怖片),https://v.cdnlz3.com/20241112/29007_d362407f/index.m3u8
丽莎灵异实录2024(印度尼西亚恐怖片),https://v.cdnlz3.com/20241111/28986_adec0496/index.m3u8
第一诫2008【粤语】(香港恐怖片),https://v.cdnlz20.com/20241109/19195_00b936da/index.m3u8
第一诫2008【国语】(香港恐怖片),https://vip.lzcdn2.com/20220324/355_4b0f8d68/index.m3u8
猛鬼大学Ⅲ2024(泰国恐怖片),https://v.cdnlz3.com/20241108/28845_d4895ce2/index.m3u8
嗜血虎魂1992(印度恐怖片),https://v.lzcdn24.com/20241107/3489_4e574fea/index.m3u8
夜盗珍妃墓1989(大陆恐怖片),https://v.lzcdn24.com/20241102/2294_e803ce04/index.m3u8
长春花园2024(韩国恐怖片),https://v.cdnlz3.com/20241101/28550_98340659/index.m3u8
布袋人2024(美国恐怖片),https://v.cdnlz20.com/20241031/17236_38e52a53/index.m3u8
百烛游戏Ⅱ2024(新西兰/阿根廷恐怖片),https://v.cdnlz12.com/20241028/17489_82691100/index.m3u8
暹罗诅咒2023(泰国恐怖片),https://v.cdnlz12.com/20241025/17412_c1f8c72d/index.m3u8
行动倒数2024(美国恐怖片),https://v.cdnlz3.com/20241025/28432_0d07617c/index.m3u8
断魂小丑Ⅲ2024(美国恐怖片),https://v.cdnlz12.com/20241025/17393_fe31e6d2/index.m3u8
疯死2024(法国恐怖片),https://v.cdnlz3.com/20241023/28354_078922ab/index.m3u8
千万别松手2024(美国恐怖片),https://v.cdnlz3.com/20241022/28315_52aa615a/index.m3u8
杀戮南瓜怪2024(美国恐怖片),https://v.cdnlz3.com/20241022/28314_5b9c0b8b/index.m3u8
布袋人2024(美国恐怖片),https://v.cdnlz3.com/20241021/28233_300794e6/index.m3u8
世外逃劫2024(菲律宾恐怖片),https://v.cdnlz3.com/20241017/28063_fd0fbcc2/index.m3u8
甜蜜诅咒2021(韩国恐怖片),https://v.cdnlz3.com/20241015/27983_4094c0d2/index.m3u8
你们这些混蛋2024(泰国恐怖片),https://v.cdnlz3.com/20241015/27933_6e3419d2/index.m3u8
目的地汽车旅馆2024(法国恐怖片),https://v.cdnlz3.com/20241013/27879_e4a72ee6/index.m3u8
某种物质2024(英国恐怖片),https://v.cdnlz3.com/20241013/27840_64078179/index.m3u8
怨泊2022【粤语/日语】(香港恐怖片),https://v.cdnlz3.com/20241011/27746_af22b51d/index.m3u8
克罗克特先生2024(美国恐怖片),https://v.cdnlz3.com/20241011/27744_d6f96b63/index.m3u8
撒冷镇2024(美国恐怖片),https://v.cdnlz3.com/20241011/27715_3fbf20ef/index.m3u8
我的宝贝2024(泰国恐怖片),https://v.cdnlz3.com/20241010/27709_8768c7cf/index.m3u8
凯多湖的消失2024(美国恐怖片),https://v.cdnlz3.com/20241010/27707_cf7dc21c/index.m3u8
放学后战记2018(日本恐怖片),https://v.cdnlz19.com/20241007/49415_6cdff1e8/index.m3u8
恶魔玩具：小丑盒袭击2023(美国恐怖片),https://v.cdnlz12.com/20241007/17305_6a30da3d/index.m3u8
致命录像带：超越2024(美国恐怖片),https://v.cdnlz12.com/20241005/17279_702c09ea/index.m3u8
胡老四守灵2024(大陆恐怖片),https://v.cdnlz12.com/20241004/17263_034cb915/index.m3u8
非礼勿言2024(英国恐怖片),https://v.cdnlz12.com/20241004/17261_2b4965bb/index.m3u8
腐坏之巫2024(美国恐怖片),https://v.cdnlz12.com/20241004/17260_df3ecd32/index.m3u8
撒冷镇2024(美国恐怖片),https://v.cdnlz12.com/20241003/17257_72b72b08/index.m3u8
別呼吸2024(美国恐怖片),https://v.cdnlz12.com/20241003/17256_675a39be/index.m3u8
7A公寓2024(美国恐怖片),https://v.cdnlz12.com/20240929/17199_fc1fd0ec/index.m3u8
吸血的法老在匹兹堡1991(美国恐怖片),https://v.cdnlz19.com/20240927/47771_6887ed7c/index.m3u8
污物2015(美国恐怖片),https://v.cdnlz19.com/20240927/47770_57e5fe87/index.m3u8
死亡将至2024(印度尼西亚恐怖片),https://v.cdnlz12.com/20240927/17158_ef65f743/index.m3u8
贝泽尔2024(美国恐怖片),https://v.cdnlz12.com/20240926/17135_e2409f09/index.m3u8
异端指南2018(美国恐怖片),https://v.cdnlz12.com/20240925/17112_e633cbdd/index.m3u8
混沌之王2018(英国恐怖片),https://v.cdnlz12.com/20240925/17111_de43406a/index.m3u8
墓中酷刑2024(印度尼西亚恐怖片),https://v.cdnlz12.com/20240922/17071_747f9688/index.m3u8
夜班逃杀2022(美国恐怖片),https://v.cdnlz12.com/20240922/17070_8fb0d7f0/index.m3u8
怖谷鸟2024(德国/美国),https://v.cdnlz12.com/20240918/17020_2103bf7d/index.m3u8
从此以后(美国恐怖片),https://v.cdnlz12.com/20240915/16962_116b4389/index.m3u8
愿者安息2023(土耳其恐怖片),https://v.cdnlz12.com/20240914/16946_c2fb063b/index.m3u8
猛鬼兰皮尔2023(印度尼西亚恐怖片),https://v.cdnlz12.com/20240911/16876_23e6ab40/index.m3u8
血婴1990(法国恐怖片),https://v.cdnlz12.com/20240909/16844_1578811d/index.m3u8
鬼府神工2023(意大利恐怖片),https://v.cdnlz12.com/20240909/16843_19cdc460/index.m3u8
无序之主2023(美国恐怖片),https://v.cdnlz12.com/20240904/16779_5e59575e/index.m3u8
解脱2024(美国恐怖片),https://v.cdnlz12.com/20240830/16707_f9d0281b/index.m3u8
陷阱2024(英国恐怖片),https://v.cdnlz12.com/20240830/16706_da72b709/index.m3u8
消失的女教师2023(印度恐怖片),https://v.cdnlz12.com/20240827/16611_2afa18e6/index.m3u8
鲨鱼女孩2024(美国恐怖片),https://v.cdnlz12.com/20240826/16608_a8c406ad/index.m3u8
幸运欧尼克斯和灵魂护身符2023(美国恐怖片),https://v.cdnlz12.com/20240826/16607_23c17194/index.m3u8
狩猎之夜2023(美国恐怖片),https://v.cdnlz12.com/20240826/16602_ddbe2a8e/index.m3u8
水鬼2023(韩国恐怖片),https://v.cdnlz12.com/20240825/16599_5a9b92de/index.m3u8
鬼气球2024(柬埔寨恐怖片),https://v.cdnlz12.com/20240825/16596_789fe790/index.m3u8
名模夜惊魂2024(美国恐怖片),https://v.cdnlz12.com/20240824/16586_541592ad/index.m3u8
复仇女妖2024(印度尼西亚恐怖片),https://v.cdnlz12.com/20240824/16585_4fc2bcb6/index.m3u8
直播鬼戏院2023(马来西亚恐怖片),https://v.cdnlz12.com/20240823/16576_3a36184a/index.m3u8
长腿2024(美国恐怖片),https://v.cdnlz12.com/20240823/16568_2f84858d/index.m3u8
格吉（杀人鬼）2024(泰国恐怖片),https://v.cdnlz12.com/20240823/16567_a5c50d29/index.m3u8
咖啡桌2022(西班牙恐怖片),https://v.cdnlz12.com/20240823/16560_cb2d3533/index.m3u8
咒物寻凶2024(爱尔兰恐怖片),https://v.cdnlz12.com/20240821/16508_bf07b321/index.m3u8
吞噬2024(美国恐怖片),https://v.cdnlz12.com/20240821/16507_ac85c482/index.m3u8
病态忧郁的猫2015(澳大利亚恐怖片),https://v.cdnlz12.com/20240820/16498_5a479a12/index.m3u8
迷离无迹2023(澳大利亚恐怖片),https://v.cdnlz12.com/20240820/16495_026455b6/index.m3u8
蓝色女孩的愿望2023(爱尔兰恐怖片),https://v.cdnlz12.com/20240819/16481_fa915c5e/index.m3u8
毛骨悚然撞鬼经25周年特别篇2024(日本恐怖片),https://v.cdnlz12.com/20240818/16476_1426a846/index.m3u8
死魂盒2012(美国恐怖片),https://v.cdnlz21.com/20240814/1516_c1ab3dff/index.m3u8
甜蜜寂寞女孩2016(美国恐怖片),https://v.cdnlz12.com/20240813/16401_d685013d/index.m3u8
达古2024(英国恐怖片),https://v.cdnlz12.com/20240812/16379_0e235b86/index.m3u8
亲友皆死2024(美国恐怖片),https://v.cdnlz12.com/20240810/16309_1f44b8ee/index.m3u8
黑暗来临2010(美国恐怖片),https://v.cdnlz12.com/20240809/16299_938b0c92/index.m3u8
米老鼠的捕鼠夹2024(美国恐怖片),https://v.cdnlz12.com/20240807/16234_caa5b877/index.m3u8
饥饿英亩2023(英国恐怖片),https://v.cdnlz12.com/20240805/16213_143cee9c/index.m3u8
鬼舞村:诅咒起源2024(印度尼西亚恐怖片),https://v.cdnlz12.com/20240803/16183_1e798c28/index.m3u8
朱朱的故事2021(尼日利亚/法国恐怖片),https://v.cdnlz12.com/20240802/16171_87cf5c9d/index.m3u8
玛克辛2024(美国恐怖片),https://v.cdnlz12.com/20240802/16170_131c0ff5/index.m3u8
鬼天厦2024(台湾恐怖片),https://v.cdnlz3.com/20240802/25236_3402cd81/index.m3u8
陌生人：第一章2024(美国恐怖片),https://v.cdnlz12.com/20240729/16030_04bb4648/index.m3u8
绝命幽灵船2011(美国恐怖片),https://v.cdnlz21.com/20240729/1269_0df768fd/index.m3u8
苦差事2011(巴西恐怖片),,https://v.cdnlz3.com/20240729/25156_e1ace9be/index.m3u8
遗嘱继承者2024(美国恐怖片),https://v.cdnlz21.com/20240725/1148_b9d96252/index.m3u8
替身纸人Ⅱ2024(大陆恐怖片),https://v.cdnlz12.com/20240722/15867_ff98dd13/index.m3u8
圣诞屠杀夜2015(加拿大),https://v.cdnlz12.com/20240721/15851_a771dd49/index.m3u8
恶魔犬2023(越南恐怖片),https://v.cdnlz3.com/20240721/24963_c73d9141/index.m3u8
致命旅拍2022(瑞典恐怖片),https://v.cdnlz21.com/20240720/979_910d29c4/index.m3u8
黑暗中的吟唱2023(英国恐怖片),https://v.cdnlz3.com/20240718/24908_b9b21f9d/index.m3u8
半身鬼2024(印度尼西亚恐怖片),https://v.cdnlz3.com/20240716/24837_a49f7262/index.m3u8
人鬼交易所Ⅱ2017(大陆恐怖片),https://v.cdnlz19.com/20240715/39555_f7961d97/index.m3u8
人鬼交易所2016(大陆恐怖片),https://v.cdnlz19.com/20240715/39556_4176ae3e/index.m3u8
开心鬼精灵1986【粤语】(香港恐怖片),https://v.cdnlz19.com/20240715/39554_4c21e5c2/index.m3u8
开心鬼精灵1986【国语】(香港恐怖片),https://v.cdnlz19.com/20240715/39553_5465951c/index.m3u8
悲伤2023(美国恐怖片),https://v.cdnlz3.com/20240716/24828_c1047d7a/index.m3u8
血腥列车2024(印度尼西亚恐怖片),https://v.cdnlz3.com/20240714/24786_dd8e1fb9/index.m3u8
驱魔大脚怪2024(美国恐怖片),https://v.cdnlz3.com/20240713/24741_449ce1fe/index.m3u8
人道2024(加拿大恐怖片),https://v.cdnlz12.com/20240712/15650_881fb469/index.m3u8
尸体沐浴2024(印度尼西亚恐怖片),https://v.cdnlz12.com/20240712/15649_97289970/index.m3u8
驱魔2024(美国恐怖片),https://v.cdnlz12.com/20240711/15618_9ba2f1fc/index.m3u8
魔图1992【国语】(香港恐怖片),https://v.cdnlz21.com/20240709/840_04e7e49c/index.m3u8
不好意思啊查理2023(美国恐怖片),https://v.cdnlz21.com/20240709/835_d0212934/index.m3u8
FPS2024(日本恐怖片),https://v.cdnlz3.com/20240702/24407_783cb97c/index.m3u8
诡夜迷情2024(大陆恐怖片),https://v.cdnlz12.com/20240701/15447_9f655396/index.m3u8
恐怖肉饼1992(美国恐怖片),https://v.cdnlz12.com/20240630/15433_8fce9825/index.m3u8
暴力本性2024(加拿大恐怖片),https://v.cdnlz12.com/20240629/15424_382e32e7/index.m3u8
Khanzab2023(印度尼西亚恐怖),https://v.cdnlz19.com/20240629/38623_31dbcab2/index.m3u8
神秘窥视(美国恐怖片),https://v.cdnlz3.com/20240628/24259_2e2d4f54/index.m3u8
恶魔之浴(奥地利/德国),https://v.cdnlz3.com/20240628/24252_e82e34e9/index.m3u8
灰姑娘的诅咒(美国恐怖片),https://v.cdnlz3.com/20240627/24225_c97eb3ae/index.m3u8
黑水巷(美国恐怖片),https://v.cdnlz3.com/20240627/24202_c04e87cd/index.m3u8
玻璃眼(意大利/西班牙/英国/保加利亚恐怖片),https://v.cdnlz3.com/20240626/24111_2567d380/index.m3u8
狂欢(瑞典恐怖片),https://v.cdnlz3.com/20240622/23965_9a3a9a03/index.m3u8
午夜6号房(大陆恐怖片),https://v.cdnlz12.com/20240622/15380_21134936/index.m3u8
连接终止2023(瑞典恐怖片),https://v.cdnlz3.com/20240621/23956_c7a66643/index.m3u8
荧屏在发光2024(美国恐怖片),https://v.cdnlz3.com/20240617/23794_f8e3f112/index.m3u8
古堡守灵人(大陆恐怖片),https://v.cdnlz12.com/20240617/15233_63de8e8c/index.m3u8
吓死你【粤语】(香港恐怖片),https://v.cdnlz21.com/20240616/444_44113860/index.m3u8
魔人刽子手(美国恐怖片),https://v.cdnlz3.com/20240616/23751_e0d4c686/index.m3u8
萨拉的入会仪式1978(美国恐怖片),https://v.cdnlz3.com/20240614/23697_6daa00b7/index.m3u8
心魔1975(香港恐怖片),https://v.cdnlz19.com/20240612/36697_2eafce5f/index.m3u8
西辛Ⅵ2019(土耳其恐怖片),https://v.cdnlz19.com/20240610/36681_a11e1d97/index.m3u8
西辛Ⅴ2018(土耳其恐怖片),https://v.cdnlz19.com/20240610/36679_4c0db5e1/index.m3u8
西辛Ⅳ2017(土耳其恐怖片),https://v.cdnlz19.com/20240610/36680_2265f85c/index.m3u8
西辛Ⅲ2016(土耳其恐怖片),https://v.cdnlz19.com/20240610/36678_c864fa0b/index.m3u8
西辛Ⅱ2015(土耳其恐怖片),https://v.cdnlz19.com/20240610/36677_da90a3ac/index.m3u8
西辛Ⅰ2014(土耳其恐怖片),https://v.cdnlz19.com/20240610/36676_f32d7b8c/index.m3u8
租房惊魂2022(美国恐怖片),https://v.cdnlz21.com/20240609/401_34f075a7/index.m3u8
黑暗的反射(俄罗斯恐怖片),https://v.cdnlz12.com/20240607/15072_fe160bae/index.m3u8
愿大家拥有幸福(日本恐怖片),https://v.cdnlz12.com/20240607/15071_f8211ea4/index.m3u8
灰姑娘复仇记(英国恐怖片),https://v.cdnlz12.com/20240605/15012_96f41e61/index.m3u8
巴黎深渊(法国恐怖片),https://v.cdnlz12.com/20240605/15000_5b5a2a25/index.m3u8
玛丽塔的悲剧(菲律宾恐怖片),https://v.cdnlz12.com/20240601/14813_b20e9224/index.m3u8
魔鬼名校(泰国恐怖片),https://v.cdnlz12.com/20240531/14766_000ad92c/index.m3u8
异形浩劫1971上(美国恐怖片),https://v.cdnlz19.com/20240528/35191_ef12556d/index.m3u8
异形浩劫1971下(美国恐怖片),https://v.cdnlz19.com/20240528/35192_1f067136/index.m3u8
蛊1981【粤语】(台湾恐怖片),https://v.cdnlz19.com/20240528/35189_a1c0439d/index.m3u8
蛊1981【国语】(台湾恐怖片),https://v.cdnlz19.com/20240528/35190_60f24664/index.m3u8
笔仙怪谈(大陆恐怖片),https://v.cdnlz19.com/20240528/34940_5071aa1f/index.m3u8
笔仙大战贞子2(大陆恐怖片),https://v.cdnlz19.com/20240528/34941_6e16bb95/index.m3u8
笔仙大战贞子(大陆恐怖片),https://v.cdnlz19.com/20240528/34938_b3f1c6ba/index.m3u8
极度残暴(美国恐怖片),https://v.cdnlz3.com/20240529/23436_c106fbe1/index.m3u8
闹鬼领域2023(印度尼西亚恐怖片),https://v.cdnlz3.com/20240528/23400_c6852ea4/index.m3u8
致命塔罗(美国恐怖片),https://v.cdnlz21.com/20240528/357_2e53f66a/index.m3u8
香港,#genre#
香港
凤凰中文,http://iptv.4666888.xyz/iptv.php?id=20060
凤凰资讯,http://iptv.4666888.xyz/iptv.php?id=20061
